egoid,vertex1,vertex2,wave
14250,327084,792357,1
14250,14250,950107,1
14250,845680,826328,1
14250,950107,327084,1
14250,450233,735561,1
14250,327084,735561,1
14250,735561,896515,1
14250,950107,845680,1
14250,950107,826328,1
14250,998645,708135,1
14250,950107,359771,1
14250,851123,896515,1
14250,845680,671738,1
14250,845680,450233,1
14250,950107,896515,1
14250,327084,450233,1
14250,998645,735561,1
14250,450233,896515,1
14250,950107,450233,1
14250,845680,851123,1
14250,327084,218503,1
14250,14250,218503,1
14250,327084,527938,1
14250,728865,851123,1
14250,527938,896515,1
14250,998645,450233,1
14250,671738,218503,1
14250,728865,792357,1
14250,851123,527938,1
14250,708135,896515,1
14250,845680,527938,1
14250,845680,359771,1
14250,845680,735561,1
14250,238451,218503,1
14250,998645,359771,1
14250,801513,218503,1
14250,327084,671738,1
14250,792357,708135,1
14250,845680,792357,1
14250,845680,327084,1
14250,950107,238451,1
14250,359771,792357,1
14250,950107,527938,1
14250,327084,801513,1
14250,359771,527938,1
14250,792357,851123,1
14250,671738,238451,1
14250,851123,708135,1
14250,14250,255227,1
14250,950107,735561,1
14250,845680,218503,1
14250,671738,801513,1
14250,998645,792357,1
14250,327084,708135,1
14250,845680,255227,1
14250,845680,896515,1
14250,359771,728865,1
14250,845680,801513,1
14250,450233,851123,1
14250,950107,671738,1
14250,792357,527938,1
14279,14279,465976,1
14279,14279,356558,1
14279,14279,369850,1
14279,14279,757402,1
14279,14279,358498,1
14279,14279,663578,1
14279,14279,318422,1
14279,14279,290211,1
14279,14279,435271,1
14279,14279,411552,1
14279,14279,742021,1
14279,14279,202327,1
14279,14279,409614,1
14279,14279,438505,1
14279,14279,460893,1
14279,14279,954872,1
14279,14279,495564,1
14279,14279,583797,1
14279,14279,993546,1
14279,495564,290211,1
14279,358498,495564,1
14279,663578,356558,1
14279,411552,202327,1
14279,356558,411552,1
14279,495564,438505,1
14279,757402,369850,1
14279,358498,318422,1
14279,369850,993546,1
14279,460893,409614,1
14279,757402,495564,1
14279,757402,358498,1
14279,460893,993546,1
14279,465976,369850,1
14279,495564,318422,1
14279,411552,435271,1
14279,438505,290211,1
14279,460893,202327,1
14279,583797,663578,1
14279,409614,257604,1
14279,757402,411552,1
14279,663578,435271,1
14279,757402,663578,1
14279,14279,257604,1
14279,202327,409614,1
14279,757402,742021,1
14279,663578,993546,1
14279,369850,435271,1
14279,465976,257604,1
14279,460893,411552,1
14279,202327,435271,1
14279,356558,202327,1
14279,358498,742021,1
14279,993546,435271,1
14279,757402,993546,1
14279,757402,356558,1
14279,356558,435271,1
14279,663578,369850,1
14279,663578,202327,1
14279,460893,435271,1
14279,757402,465976,1
14279,356558,460893,1
14279,583797,460893,1
14279,757402,318422,1
14279,583797,435271,1
14279,742021,438505,1
14279,411552,993546,1
14279,465976,583797,1
14279,757402,435271,1
14279,369850,257604,1
14279,409614,369850,1
14279,757402,290211,1
14279,757402,202327,1
14279,411552,369850,1
14279,583797,993546,1
14279,757402,954872,1
14279,202327,993546,1
14279,465976,411552,1
14279,358498,290211,1
14279,757402,460893,1
14279,356558,993546,1
14279,663578,460893,1
14279,358498,438505,1
14279,583797,369850,1
14279,757402,583797,1
14279,663578,411552,1
14279,290211,318422,1
14279,757402,438505,1
14571,14571,674413,1
14571,14571,404358,1
14571,14571,616850,1
14571,14571,821390,1
14571,14571,370258,1
14571,14571,642623,1
14571,14571,711480,1
14571,14571,236312,1
14571,14571,998211,1
14571,998211,616850,1
14571,370258,711480,1
14571,236312,998211,1
14571,370258,674413,1
14571,236312,674413,1
14571,642623,236312,1
14571,404358,674413,1
14571,370258,998211,1
14571,642623,998211,1
14571,404358,236312,1
14571,370258,616850,1
14571,404358,998211,1
14571,711480,674413,1
14571,404358,711480,1
14571,616850,674413,1
14571,642623,711480,1
14571,236312,616850,1
14571,370258,236312,1
14571,998211,711480,1
14571,236312,711480,1
14571,404358,616850,1
14571,998211,674413,1
14571,642623,674413,1
14571,404358,642623,1
14571,642623,616850,1
14571,642623,370258,1
14571,404358,370258,1
14571,616850,711480,1
14737,14737,299072,1
14737,14737,408347,1
14737,14737,797163,1
14737,14737,669850,1
14737,14737,401732,1
14737,14737,88582,1
14737,14737,221505,1
14737,14737,698877,1
14737,14737,743011,1
14737,797163,221505,1
14737,797163,401732,1
14737,917071,554008,1
14737,88582,743011,1
14737,698877,797163,1
14737,14737,917071,1
14737,669850,401732,1
14737,917071,221505,1
14737,14737,554008,1
14737,669850,408347,1
14737,797163,408347,1
14737,917071,401732,1
14737,698877,917071,1
14737,554008,120344,1
14737,88582,120344,1
14737,14737,306325,1
14737,698877,401732,1
14737,797163,917071,1
14737,669850,698877,1
14737,669850,299072,1
14737,401732,221505,1
14737,698877,299072,1
14737,669850,221505,1
14737,554008,743011,1
14737,917071,408347,1
14737,221505,408347,1
14737,743011,408347,1
14737,669850,917071,1
14737,743011,120344,1
14737,669850,797163,1
14737,698877,408347,1
14737,14737,120344,1
14737,698877,221505,1
14737,401732,408347,1
14847,14847,283145,1
14847,67177,547156,1
14847,14847,585572,1
14847,14847,627423,1
14847,14847,793662,1
14847,14847,689003,1
14847,14847,669763,1
14847,14847,743602,1
14847,585572,67177,1
14847,14847,233844,1
14847,14847,67177,1
14847,14847,360435,1
14847,14847,796136,1
14847,796136,67177,1
14847,14847,547156,1
14847,14847,401103,1
14847,547156,669763,1
14847,689003,746505,1
14847,283145,796136,1
14847,743602,669763,1
14847,689003,401103,1
14847,547156,401103,1
14847,14847,746505,1
14847,743602,793662,1
14847,743602,401103,1
14847,627423,746505,1
14847,627423,793662,1
14847,796136,689003,1
14847,547156,746505,1
14847,627423,669763,1
14847,401103,669763,1
14847,796136,547156,1
14847,689003,793662,1
14847,547156,689003,1
14847,743602,627423,1
14847,796136,743602,1
14847,233844,547156,1
14847,585572,547156,1
14847,233844,796136,1
14847,793662,746505,1
14847,401103,746505,1
14847,743602,689003,1
14847,743602,746505,1
14847,796136,585572,1
14847,283145,67177,1
14847,547156,743602,1
14847,283145,585572,1
14847,627423,401103,1
14847,283145,547156,1
14847,746505,669763,1
14847,233844,689003,1
14847,547156,627423,1
14847,689003,669763,1
14847,793662,401103,1
14847,547156,793662,1
14847,793662,669763,1
14847,689003,627423,1
15031,15031,666565,1
15031,15031,394818,1
15031,15031,920227,1
15031,15031,541513,1
15031,15031,821042,1
15031,15031,451072,1
15031,15031,308366,1
15031,15031,277443,1
15031,15031,491660,1
15031,15031,663531,1
15031,15031,675271,1
15031,15031,746591,1
15031,15031,925908,1
15031,15031,204704,1
15031,15031,419426,1
15031,15031,387094,1
15031,15031,920860,1
15031,15031,330048,1
15031,387094,920860,1
15031,920860,204704,1
15031,821042,269169,1
15031,491660,666565,1
15031,451072,308366,1
15031,746591,419426,1
15031,920227,419426,1
15031,746591,821042,1
15031,277443,925908,1
15031,451072,277443,1
15031,663531,920860,1
15031,920227,394818,1
15031,927467,204704,1
15031,675271,666565,1
15031,821042,277443,1
15031,927467,394818,1
15031,927467,675271,1
15031,491660,330048,1
15031,920227,387094,1
15031,394818,491660,1
15031,541513,308366,1
15031,666565,541513,1
15031,394818,541513,1
15031,746591,451072,1
15031,394818,387094,1
15031,920227,330048,1
15031,666565,204704,1
15031,451072,925908,1
15031,920227,925908,1
15031,277443,308366,1
15031,394818,920860,1
15031,821042,204704,1
15031,927467,925908,1
15031,920860,925908,1
15031,746591,666565,1
15031,666565,269169,1
15031,663531,330048,1
15031,927467,491660,1
15031,675271,269169,1
15031,746591,277443,1
15031,927467,920227,1
15031,821042,666565,1
15031,746591,330048,1
15031,666565,419426,1
15031,675271,308366,1
15031,920227,491660,1
15031,277443,330048,1
15031,419426,308366,1
15031,821042,330048,1
15031,387094,277443,1
15031,269169,308366,1
15031,387094,330048,1
15031,920860,308366,1
15031,663531,666565,1
15031,920227,451072,1
15031,387094,666565,1
15031,821042,925908,1
15031,663531,925908,1
15031,277443,269169,1
15031,394818,204704,1
15031,491660,925908,1
15031,394818,666565,1
15031,675271,277443,1
15031,491660,920860,1
15031,675271,821042,1
15031,277443,541513,1
15031,204704,308366,1
15031,451072,419426,1
15031,394818,451072,1
15031,491660,277443,1
15031,451072,204704,1
15031,675271,204704,1
15031,675271,920860,1
15031,204704,419426,1
15031,927467,277443,1
15031,419426,541513,1
15031,746591,927467,1
15031,927467,920860,1
15031,387094,419426,1
15031,746591,920227,1
15031,387094,675271,1
15031,277443,204704,1
15031,746591,204704,1
15031,277443,419426,1
15031,394818,308366,1
15031,491660,821042,1
15031,387094,269169,1
15031,821042,920860,1
15031,451072,920860,1
15031,451072,541513,1
15031,330048,666565,1
15031,746591,541513,1
15031,746591,308366,1
15031,451072,821042,1
15031,920227,920860,1
15031,387094,821042,1
15031,920227,308366,1
15031,663531,541513,1
15031,927467,541513,1
15031,746591,925908,1
15031,491660,541513,1
15031,663531,920227,1
15031,925908,419426,1
15031,451072,666565,1
15031,204704,541513,1
15031,920227,204704,1
15031,927467,387094,1
15031,387094,204704,1
15031,663531,269169,1
15031,277443,666565,1
15031,920860,269169,1
15031,746591,269169,1
15031,821042,308366,1
15031,666565,308366,1
15031,925908,541513,1
15031,675271,925908,1
15031,663531,394818,1
15031,394818,925908,1
15031,920227,666565,1
15031,663531,675271,1
15031,663531,277443,1
15031,663531,491660,1
15031,920860,541513,1
15031,925908,666565,1
15031,451072,330048,1
15031,746591,394818,1
15031,387094,308366,1
15031,394818,821042,1
15031,451072,269169,1
15031,746591,387094,1
15031,663531,419426,1
15031,920227,821042,1
15031,675271,541513,1
15031,746591,663531,1
15031,491660,308366,1
15031,746591,920860,1
15031,394818,675271,1
15031,394818,419426,1
15031,491660,675271,1
15031,663531,308366,1
15031,387094,925908,1
15031,920860,666565,1
15031,927467,821042,1
15031,746591,491660,1
15031,675271,330048,1
15031,927467,330048,1
15031,277443,920860,1
15031,663531,204704,1
15031,927467,666565,1
15031,746591,675271,1
15031,491660,451072,1
15031,663531,387094,1
15031,15031,269169,1
15031,330048,541513,1
15031,663531,927467,1
15031,927467,451072,1
15031,491660,387094,1
15031,387094,541513,1
15031,387094,451072,1
15031,451072,675271,1
15031,394818,277443,1
15031,491660,204704,1
15031,541513,269169,1
15031,920227,675271,1
15031,15031,927467,1
15031,491660,269169,1
15031,330048,925908,1
15031,920227,277443,1
15031,330048,419426,1
15031,663531,451072,1
15031,821042,541513,1
15031,394818,330048,1
15031,330048,204704,1
15031,920860,419426,1
15031,204704,269169,1
15031,663531,821042,1
15031,925908,204704,1
15031,920860,330048,1
15134,15134,729836,1
15134,15134,336859,1
15134,15134,719054,1
15134,15134,607539,1
15134,15134,772588,1
15134,15134,774353,1
15134,15134,229375,1
15134,15134,441258,1
15134,15134,256568,1
15134,15134,704307,1
15134,15134,526155,1
15134,15134,334106,1
15134,15134,721937,1
15134,15134,742138,1
15134,15134,644321,1
15134,15134,372780,1
15134,526155,807349,1
15134,441258,486720,1
15134,256568,869342,1
15134,869342,704307,1
15134,774353,607539,1
15134,869342,729836,1
15134,772588,704307,1
15134,807349,441258,1
15134,334106,721937,1
15134,334106,742138,1
15134,774353,772588,1
15134,644321,372780,1
15134,256869,441258,1
15134,719054,772588,1
15134,774353,372780,1
15134,807349,486720,1
15134,869342,486720,1
15134,774353,721937,1
15134,607539,336859,1
15134,334106,644321,1
15134,334106,729836,1
15134,372780,721937,1
15134,526155,372780,1
15134,336859,704307,1
15134,526155,869342,1
15134,336859,486720,1
